"subject" "activity" "variable" "avg"
1 "WALKING" "tBodyAccMeanX" 0.276336875325203
1 "WALKING" "tBodyAccMeanY" -0.0179068331339779
1 "WALKING" "tBodyAccMeanZ" -0.108881687638618
1 "WALKING" "tBodyAccStdX" -0.314644454310285
1 "WALKING" "tBodyAccStdY" -0.0235829464260859
1 "WALKING" "tBodyAccStdZ" -0.2739207990668
1 "WALKING" "tGravityAccMeanX" 0.93499157825784
1 "WALKING" "tGravityAccMeanY" -0.196713497359117
1 "WALKING" "tGravityAccMeanZ" -0.0538251249015482
1 "WALKING" "tGravityAccStdX" -0.977612074494773
1 "WALKING" "tGravityAccStdY" -0.966903875917538
1 "WALKING" "tGravityAccStdZ" -0.954597565156794
1 "WALKING" "tBodyAccJerkMeanX" 0.0767187377408595
1 "WALKING" "tBodyAccJerkMeanY" 0.0115061924659823
1 "WALKING" "tBodyAccJerkMeanZ" -0.00231938614930952
1 "WALKING" "tBodyAccJerkStdX" -0.267288163330981
1 "WALKING" "tBodyAccJerkStdY" -0.103141139217389
1 "WALKING" "tBodyAccJerkStdZ" -0.479147120981986
1 "WALKING" "tBodyGyroMeanX" -0.0347275766522822
1 "WALKING" "tBodyGyroMeanY" -0.0694200436104837
1 "WALKING" "tBodyGyroMeanZ" 0.0863626487285566
1 "WALKING" "tBodyGyroStdX" -0.469914839340418
1 "WALKING" "tBodyGyroStdY" -0.347921806314175
1 "WALKING" "tBodyGyroStdZ" -0.338448612532172
1 "WALKING" "tBodyGyroJerkMeanX" -0.0943007119992102
1 "WALKING" "tBodyGyroJerkMeanY" -0.0445701108594715
1 "WALKING" "tBodyGyroJerkMeanZ" -0.0540064674427816
1 "WALKING" "tBodyGyroJerkStdX" -0.37622140274036
1 "WALKING" "tBodyGyroJerkStdY" -0.512619067859872
1 "WALKING" "tBodyGyroJerkStdZ" -0.447427245411672
1 "WALKING" "tBodyAccMagMean" -0.167937853979757
1 "WALKING" "tBodyAccMagStd" -0.33775398556687
1 "WALKING" "tGravityAccMagMean" -0.167937853979757
1 "WALKING" "tGravityAccMagStd" -0.33775398556687
1 "WALKING" "tBodyAccJerkMagMean" -0.241451989838379
1 "WALKING" "tBodyAccJerkMagStd" -0.214555894362491
1 "WALKING" "tBodyGyroMagMean" -0.274866019270244
1 "WALKING" "tBodyGyroMagStd" -0.382629015979094
1 "WALKING" "tBodyGyroJerkMagMean" -0.460511516745528
1 "WALKING" "tBodyGyroJerkMagStd" -0.498841024689745
1 "WALKING" "fBodyAccMeanX" -0.297890931822619
1 "WALKING" "fBodyAccMeanY" -0.0423392245272938
1 "WALKING" "fBodyAccMeanZ" -0.341840674953966
1 "WALKING" "fBodyAccStdX" -0.322835798362427
1 "WALKING" "fBodyAccStdY" -0.0772063416317422
1 "WALKING" "fBodyAccStdZ" -0.296078309260848
1 "WALKING" "fBodyAccMeanFreqX" -0.28685827761899
1 "WALKING" "fBodyAccMeanFreqY" 0.0518636618040337
1 "WALKING" "fBodyAccMeanFreqZ" 0.0749560748261487
1 "WALKING" "fBodyAccJerkMeanX" -0.31112743843018
1 "WALKING" "fBodyAccJerkMeanY" -0.170395065771795
1 "WALKING" "fBodyAccJerkMeanZ" -0.451010514389593
1 "WALKING" "fBodyAccJerkStdX" -0.287897688500499
1 "WALKING" "fBodyAccJerkStdY" -0.0908699078702335
1 "WALKING" "fBodyAccJerkStdZ" -0.506329080412654
1 "WALKING" "fBodyAccJerkMeanFreqX" -0.258388290587468
1 "WALKING" "fBodyAccJerkMeanFreqY" -0.354659109992689
1 "WALKING" "fBodyAccJerkMeanFreqZ" -0.24068649680518
1 "WALKING" "fBodyGyroMeanX" -0.348237370890012
1 "WALKING" "fBodyGyroMeanY" -0.388384886139303
1 "WALKING" "fBodyGyroMeanZ" -0.310406242610407
1 "WALKING" "fBodyGyroStdX" -0.510431986710081
1 "WALKING" "fBodyGyroStdY" -0.331961524686347
1 "WALKING" "fBodyGyroStdZ" -0.410569112536585
1 "WALKING" "fBodyGyroMeanFreqX" -0.0677418230563182
1 "WALKING" "fBodyGyroMeanFreqY" -0.0984530711444367
1 "WALKING" "fBodyGyroMeanFreqZ" -0.0721787297258188
1 "WALKING" "fBodyAccMagMean" -0.275558097404657
1 "WALKING" "fBodyAccMagStd" -0.480002278144599
1 "WALKING" "fBodyAccMagMeanFreq" 0.184417205519328
1 "WALKING" "fBodyAccJerkMagMean" -0.214653971925401
1 "WALKING" "fBodyAccJerkMagStd" -0.221617770280105
1 "WALKING" "fBodyAccJerkMagMeanFreq" 0.0773140386701899
